SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
100,2024-03-11T20:36:13,0.009833333333333333,0.5,58.97744485254589,58.97744485254589,58.97744485254589,0,58.942329427640566,61.085489467000926,59.89630229532323,0.8145223604205171
600,2024-03-11T20:41:13,62.582,0.5,53.479274875251576,465.8867331402509,348.8947610579343,123.72000382040399,465.9767973788861,472.4251998186801,470.1155796839914,1.7388997881704973
650,2024-03-11T22:11:13,17.8,0.5,470.48765478644054,506.8282304948881,496.02782254784455,9.883572975138705,506.872851977652,513.1313911054747,511.1515789961691,1.8599690722152924
700,2024-03-11T22:55:48,21.262800000000002,0.5,512.0540234608925,550.9443729683609,540.643131448929,9.62112548684614,550.9897990597361,555.1376677707451,553.730798268146,1.0697969000483032
750,2024-03-11T23:41:18,18.933866666666667,0.5,553.7440780270845,593.228366783392,582.8148504098691,9.64676754132689,593.2633414526634,596.9015813038673,595.4375305791461,1.0282267237221194
800,2024-03-12T00:16:18,16.942266666666665,0.5,595.5291173285805,637.9410591308649,626.4869119087743,10.323865797322467,637.97081521889,642.0338218442464,640.0707168649753,1.2678059672952637
850,2024-03-12T00:46:18,17.471333333333334,0.5,638.3905927335727,687.5971002161775,673.798160571292,12.562631224386763,687.6270857090752,692.3185842239657,690.1865028319538,1.5145566863684385
900,2024-03-12T01:16:18,13.754,0.5,688.1091864991467,738.2064377032111,723.4901899674999,14.279349574460111,738.2362273096384,742.1889371606087,740.9107916220698,1.2080495398245688
950,2024-03-12T01:46:18,13.514800000000001,0.5,737.3345151736867,789.6500127949217,776.7603841852407,13.869543422699047,789.6798377583324,793.1174686899599,792.0956780371553,0.9872845729548168
1000,2024-03-12T02:16:18,13.456666666666667,0.5,788.6769855933962,838.6276150176899,827.8916580059903,11.929777568487768,838.6521331136846,840.7326426632369,839.9136271195348,0.5634424521414637
1050,2024-03-12T02:40:48,13.4552,0.5,837.751557593816,891.262974467009,879.8625867894085,12.700329254315463,891.2886527642744,892.7069139202627,892.0361617436507,0.33653806976690037
1100,2024-03-12T03:06:18,10.8256,0.5,888.9436509596417,942.6157937178943,931.5345520378867,12.972661539484465,942.6356434165823,943.1671717098942,943.0049178281549,0.11523964937596289
1150,2024-03-12T03:26:18,9.4724,0.5,940.0818863005843,991.3641273923818,981.1981897963483,12.698838969495146,991.3839638454116,992.189227039634,991.9677470750037,0.1714066308344425
1200,2024-03-12T03:46:18,10.675333333333333,0.5,989.7058040224947,1041.844804791131,1032.453594663044,11.82630033721883,1041.0137687379533,1042.600817149866,1042.128846470524,0.2634404662119582
1250,2024-03-12T04:06:18,7.489599999999999,0.5,1039.434619985579,1092.1231772712667,1081.1437496747287,12.637951850365349,1091.8836500842522,1093.8893959940833,1092.2431388379032,0.41933292713908626
1300,2024-03-12T04:16:23,8.9892,0.5,1091.1439766518306,1145.8994245609083,1135.7747569736077,12.170405776515436,1145.9093031251173,1146.085077438761,1146.030660500513,0.050342693540582774
